bundle	size	kind	count
5df1b7680c9342147f466a5ca660184a_monoscripts_8f1fa9a40d2b384c5aa93daaa359076e.bundle	5409	MonoScript	69
5df1b7680c9342147f466a5ca660184a_monoscripts_8f1fa9a40d2b384c5aa93daaa359076e.bundle	5409	AssetBundle	1
5df1b7680c9342147f466a5ca660184a_unitybuiltinassets_fae0c879bbeef66081109276ec60eb69.bundle	19433	Material	1
5df1b7680c9342147f466a5ca660184a_unitybuiltinassets_fae0c879bbeef66081109276ec60eb69.bundle	19433	AssetBundle	1
5df1b7680c9342147f466a5ca660184a_unitybuiltinassets_fae0c879bbeef66081109276ec60eb69.bundle	19433	Shader	1
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	3788514	Texture2D	3
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	3788514	Material	1
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	3788514	Shader	2
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	3788514	AssetBundle	1
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	3594078	Texture2D	3
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	3594078	Shader	2
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	3594078	AssetBundle	1
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	3594078	Material	1
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	3608108	Texture2D	3
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	3608108	Shader	2
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	3608108	AssetBundle	1
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	3608108	Material	1
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	3710473	Shader	2
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	3710473	Texture2D	3
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	3710473	AssetBundle	1
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	3710473	Material	1
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	3535452	Shader	2
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	3535452	Texture2D	3
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	3535452	Material	1
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	3535452	AssetBundle	1
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	3617856	Texture2D	3
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	3617856	Shader	2
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	3617856	Material	1
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	3617856	AssetBundle	1
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	3958336	Material	1
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	3958336	Texture2D	3
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	3958336	Shader	2
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	3958336	AssetBundle	1
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	3747245	Material	1
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	3747245	Texture2D	3
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	3747245	Shader	2
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	3747245	AssetBundle	1
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	3757530	Texture2D	3
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	3757530	Material	1
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	3757530	Shader	2
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	3757530	AssetBundle	1
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	3876273	Texture2D	3
