bundle	pathid	name	shader_pathid	shader_name
5df1b7680c9342147f466a5ca660184a_unitybuiltinassets_fae0c879bbeef66081109276ec60eb69.bundle	-7504259843138580660	Sprites-Default	3262840161956400972	Sprites/Default
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	-7054759462093537806	12x5 AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	2076698093339166549	12x5 BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	4972442938001926178	12x5 GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	6682715902450933644	12x5 M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	-101832799333389093	12x5 MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	-2385462980018683385	12x5 OD	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	-7898641716878616024	6x5 AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	-8387015618460329196	6x5 BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	-4752690524332944098	6x5 GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	8525505608494303998	6x5 M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	-5887842607256534954	6x5 MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	-1849840083662470647	6x5 OD	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	2637402179324656466	6x9 AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	7424536855649407912	6x9 BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	-3987329583655430754	6x9 GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	2935453378190770018	6x9 M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	-816922753166318408	6x9 MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	166444244176638370	6x9 OD	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	-7187894323913202385	ADA IFAK AOR1	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	-8649954528381464072	ADA IFAK AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	-2735377715276485254	ADA IFAK BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	-8917944303613612212	ADA IFAK Coyote	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	5264510358713937997	ADA IFAK GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	-285995987908594527	ADA IFAK M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	-377488414937971111	ADA IFAK MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	-6503815815693731544	ADA IFAK OCP	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	6024091871975683426	ADA IFAK OD	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	-8304404833012600016	Admin AOR1	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	-7067632530487190078	Admin AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	5262947557440887045	Admin AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	-6056536542653671438	Admin BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	686807853770792378	Admin BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	1140842223010625139	Admin GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	-2742525501319635530	Admin GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	-7795370463611830305	Admin M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	96610924091072324	Admin M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	2066847071595422547	Admin MCB	-3661740934848837633	MilkShaders/Lit-Template
