bundle	material	prop	tex_pathid	tex_name	scale_x	scale_y	off_x	off_y
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	12x5 AOR2	_BaseColorMap	-8184757518800230064	12x5 AOR2	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	12x5 AOR2	_MaskMap	-1435063860883948293	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	12x5 AOR2	_NormalMap	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	12x5 BLK	_BaseColorMap	-5911103537205880934	12x5 BLK	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	12x5 BLK	_MaskMap	-1435063860883948293	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	12x5 BLK	_NormalMap	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	12x5 GRAY	_BaseColorMap	-7182198145022925296	12x5 GRAY	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	12x5 GRAY	_MaskMap	-1435063860883948293	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	12x5 GRAY	_NormalMap	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	12x5 M81	_BaseColorMap	4167591131411782440	12x5 M81	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	12x5 M81	_MaskMap	-1435063860883948293	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	12x5 M81	_NormalMap	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	12x5 MCB	_BaseColorMap	5828564123989195552	12x5 MCB	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	12x5 MCB	_MaskMap	-1435063860883948293	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	12x5 MCB	_NormalMap	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	12x5 OD	_BaseColorMap	-8368440004065176434	12x5 OD	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	12x5 OD	_MaskMap	-1435063860883948293	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	12x5 OD	_NormalMap	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	6x5 AOR2	_BaseColorMap	7487559838234758764	6x5 AOR2	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	6x5 AOR2	_MaskMap	-6714986108804120104	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	6x5 AOR2	_NormalMap	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	6x5 BLK	_BaseColorMap	6393856321494997511	6x5 BLK	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	6x5 BLK	_MaskMap	-6714986108804120104	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	6x5 BLK	_NormalMap	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	6x5 GRAY	_BaseColorMap	-2142710823836794671	6x5 GRAY	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	6x5 GRAY	_MaskMap	-6714986108804120104	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	6x5 GRAY	_NormalMap	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	6x5 M81	_BaseColorMap	-8375838486070820449	6x5 M81	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	6x5 M81	_MaskMap	-6714986108804120104	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	6x5 M81	_NormalMap	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	6x5 MCB	_BaseColorMap	-2395473560650802372	6x5 MCB	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	6x5 MCB	_MaskMap	-6714986108804120104	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	6x5 MCB	_NormalMap	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	6x5 OD	_BaseColorMap	4325509357473416830	6x5 OD	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	6x5 OD	_MaskMap	-6714986108804120104	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	6x5 OD	_NormalMap	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	6x9 AOR2	_BaseColorMap	-4287358348772453424	6x9 AOR2	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	6x9 AOR2	_MaskMap	6926687667629682341	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	6x9 AOR2	_NormalMap	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	6x9 BLK	_BaseColorMap	2725997448011235311	6x9 BLK	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	6x9 BLK	_MaskMap	6926687667629682341	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	6x9 BLK	_NormalMap	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	6x9 GRAY	_BaseColorMap	-131971999121707903	6x9 GRAY	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	6x9 GRAY	_MaskMap	6926687667629682341	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	6x9 GRAY	_NormalMap	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	6x9 M81	_BaseColorMap	-1645947975598174764	6x9 M81	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	6x9 M81	_MaskMap	6926687667629682341	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	6x9 M81	_NormalMap	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	6x9 MCB	_BaseColorMap	-5917494760195438996	6x9 MCB	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	6x9 MCB	_MaskMap	6926687667629682341	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	6x9 MCB	_NormalMap	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	6x9 OD	_BaseColorMap	-2388171385252728675	6x9 OD	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	6x9 OD	_MaskMap	6926687667629682341	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	6x9 OD	_NormalMap	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	ADA IFAK AOR1	_BaseColorMap	8223849673445040095	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 6	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	ADA IFAK AOR1	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	ADA IFAK AOR1	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	ADA IFAK AOR2	_BaseColorMap	-6528655167617834116	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 5	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	ADA IFAK AOR2	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	ADA IFAK AOR2	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	ADA IFAK BLK	_BaseColorMap	-4678053438790453756	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 4	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	ADA IFAK BLK	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	ADA IFAK BLK	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	ADA IFAK Coyote	_BaseColorMap	8858722838746922307	Pouch_ADA_IFAK_V_Coyote_BaseColor	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	ADA IFAK Coyote	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	ADA IFAK Coyote	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	ADA IFAK GRAY	_BaseColorMap	6216320700640474161	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 3	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	ADA IFAK GRAY	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	ADA IFAK GRAY	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	ADA IFAK M81	_BaseColorMap	-9148306294791598446	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 2	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	ADA IFAK M81	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	ADA IFAK M81	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	ADA IFAK MCB	_BaseColorMap	-1517244710589380721	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 1	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	ADA IFAK MCB	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	ADA IFAK MCB	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	ADA IFAK OCP	_BaseColorMap	4521330484316320446	Pouch_ADA_IFAK_V_OCP_BaseColor	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	ADA IFAK OCP	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	ADA IFAK OCP	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	ADA IFAK OD	_BaseColorMap	6315809546613334262	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	ADA IFAK OD	_MaskMap	8173302219260181134	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	ADA IFAK OD	_NormalMap	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	Admin AOR1	_BaseColorMap	2283734199305643712	Admin AOR1	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	Admin AOR1	_MaskMap	1042472639090868990	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	Admin AOR1	_NormalMap	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	Admin AOR2	_BaseColorMap	-2077013957339281449	Admin AOR2	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	Admin AOR2	_MaskMap	1042472639090868990	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	Admin AOR2	_NormalMap	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	Admin AOR2	_BaseColorMap	-3981322020090170384	Admin AOR2	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	Admin AOR2	_MaskMap	1597934244077240019	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	Admin AOR2	_NormalMap	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	Admin BLK	_BaseColorMap	1679969404540351611	Admin BLK	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	Admin BLK	_MaskMap	1597934244077240019	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	Admin BLK	_NormalMap	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	Admin BLK	_BaseColorMap	5864303996937574808	Admin BLK	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	Admin BLK	_MaskMap	1042472639090868990	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	Admin BLK	_NormalMap	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	Admin GRAY	_BaseColorMap	-6054922207156362729	Admin GRAY	1.0	1.0	0.0	0.0
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	Admin GRAY	_MaskMap	1597934244077240019	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	Admin GRAY	_NormalMap	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	Admin GRAY	_BaseColorMap	3883709986605216701	Admin GRAY	1.0	1.0	0.0	0.0
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	Admin GRAY	_MaskMap	1042472639090868990	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	Admin GRAY	_NormalMap	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	Admin M81	_BaseColorMap	-7051095314278868560	Admin M81	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	Admin M81	_MaskMap	1042472639090868990	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	Admin M81	_NormalMap	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	Admin M81	_BaseColorMap	-2746111197405457355	Admin M81	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	Admin M81	_MaskMap	1597934244077240019	MaskMap	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	Admin M81	_NormalMap	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	Admin MCB	_BaseColorMap	447198880586717870	Admin MCB	1.0	1.0	0.0	0.0
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	Admin MCB	_MaskMap	1597934244077240019	MaskMap	1.0	1.0	0.0	0.0
