bundle	pathid	name	width	height	format	mips	streamed	bytes
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	-8184757518800230064	12x5 AOR2	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_12x5aor2_92b17bde6e6eebc9645be4becdb2e00f.bundle	-1435063860883948293	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	-5911103537205880934	12x5 BLK	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_12x5blk_658479ee2d334e7f96c16dfea7ad1188.bundle	-1435063860883948293	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	-7182198145022925296	12x5 GRAY	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_12x5gray_79c25e5e12987895033276af175fb1ff.bundle	-1435063860883948293	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	-1435063860883948293	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_12x5m81_aabffcb931880edae794e4fffe1980f9.bundle	4167591131411782440	12x5 M81	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	-1435063860883948293	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_12x5mcb_99c7b530b3449d23646e78c9ff73d7bb.bundle	5828564123989195552	12x5 MCB	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	-8368440004065176434	12x5 OD	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	-3050035751466672685	Pouch_Ferro_GP_12x5_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_12x5od_78bbffea885b82fa10bd009db1e97356.bundle	-1435063860883948293	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	-6714986108804120104	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x5aor2_5b71fe884d6be53664d986a79cf39ef1.bundle	7487559838234758764	6x5 AOR2	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	-6714986108804120104	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x5blk_5c56d3e7a4e1cf1f7bab5b2854f272cd.bundle	6393856321494997511	6x5 BLK	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	-6714986108804120104	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	-2142710823836794671	6x5 GRAY	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x5gray_3d66850fdd343e7be65dd4a131e3f2dc.bundle	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	-8375838486070820449	6x5 M81	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	-6714986108804120104	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	-6714986108804120104	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	-2395473560650802372	6x5 MCB	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	-6714986108804120104	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	4325509357473416830	6x5 OD	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	4599304772425873359	Pouch_Ferro_GP_6x5_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	-4287358348772453424	6x9 AOR2	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	6926687667629682341	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	2725997448011235311	6x9 BLK	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	6926687667629682341	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	-131971999121707903	6x9 GRAY	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	6926687667629682341	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	-1645947975598174764	6x9 M81	2048	2048	DXT1	12	1	2796216
